CID,FileID,FieldID,Catname,Filter,Nsources
1,3,1,Field-1-H.fits,H,10000
1,2,1,Field-1-J.fits,J,10000
1,4,1,Field-1-Ks-E001.fits,Ks,10000
1,5,1,Field-1-Ks-E002.fits,Ks,10000
1,6,1,Field-1-Ks-E003.fits,Ks,10000
1,7,1,Field-1-Y.fits,Y,10000
1,1,1,Field-1-Z.fits,Z,10000
1,10,2,Field-2-H.fits,H,10000
1,9,2,Field-2-J.fits,J,10000
1,11,2,Field-2-Ks-E001.fits,Ks,10000
1,2,2,Field-2-Y.fits,Y,10000
1,8,2,Field-2-Z.fits,Z,10000
1,15,3,Field-3-H.fits,H,10000
1,14,3,Field-3-J.fits,J,10000
1,16,3,Field-3-Ks-E001.fits,Ks,10000
1,17,3,Field-3-Ks-E002.fits,Ks,10000
1,18,3,Field-3-Y.fits,Y,10000
1,13,3,Field-3-Z.fits,Z,10000
